feature
TotalCharges_1052.35
TotalCharges_1099.6
TotalCharges_4759.75
TotalCharges_5154.6
TotalCharges_1327.15
TotalCharges_2460.15
TotalCharges_4481
TotalCharges_4820.15
TotalCharges_1021.8
TotalCharges_740.3
TotalCharges_6579.05
TotalCharges_692.1
TotalCharges_3147.5
TotalCharges_3563.8
TotalCharges_3160.55
