feature
TotalCharges_num
tenure
AvgChargesPerMonth
MonthlyCharges
Contract_Month-to-month
NumServicesYes
Contract_Two year
TenureGroup_0-12
PaymentMethod_Electronic check
OnlineSecurity_No
TechSupport_No
InternetService_Fiber optic
TenureGroup_48-72
OnlineBackup_No
Contract_One year
