feature
tenure
Contract_Month-to-month
OnlineSecurity_No
TenureGroup_0-12
Contract_Two year
TechSupport_No
PaymentMethod_Electronic check
InternetService_Fiber optic
OnlineBackup_No
TenureGroup_48-72
TotalCharges_1052.35
TotalCharges_num
TotalCharges_1099.6
AvgChargesPerMonth
TotalCharges_4759.75
