feature
tenure
InternetService_Fiber optic
Contract_Two year
Contract_Month-to-month
TenureGroup_12-24
OnlineSecurity_No
PaymentMethod_Electronic check
TenureGroup_48-72
TechSupport_No
MultipleLines_No
StreamingMovies_Yes
StreamingTV_Yes
TenureGroup_24-48
TotalCharges
PaperlessBilling
