model,imbalance,best_params,status,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
LogReg_TUNED,smote,"{""clf__solver"": ""liblinear"", ""clf__C"": 0.01}",ok,0.7394399693617505,0.012258956232181033,0.5057128814111663,0.014878903212449045,0.7946488294314382,0.027055181827634382,0.6180547310105796,0.018918836205814926
RandomForest_TUNED,smote,"{""clf__n_estimators"": 700, ""clf__min_samples_split"": 2, ""clf__min_samples_leaf"": 10, ""clf__max_depth"": 6}",ok,0.7605639707423628,0.011252055550876586,0.5335647325566207,0.01573986269763797,0.7832775919732442,0.030754686107217797,0.6344506332890536,0.01626451980232162
