feature
tenure
Contract_Month-to-month
OnlineSecurity_No
InternetService_Fiber optic
Contract_Two year
TechSupport_No
PaymentMethod_Electronic check
TotalCharges
TenureGroup_0-12
TenureGroup_48-72
PaperlessBilling
AvgChargesPerMonth
MonthlyCharges
TenureGroup_12-24
OnlineBackup_No
