rank,model,imbalance,recall_mean,f1_mean,status
1,VotingSoft_top3,mixed,0.7953177257525084,0.6221167495986689,ok
2,LogReg_TUNED,smote,0.7946488294314382,0.6180547310105796,ok
3,LogReg,smote,0.7926421404682273,0.6228386695908099,ok
4,LogReg,class_weight,0.7919732441471572,0.6205901712537355,ok
