feature
TotalCharges
tenure
AvgChargesPerMonth
MonthlyCharges
Contract_Month-to-month
OnlineSecurity_No
Contract_Two year
TechSupport_No
InternetService_Fiber optic
NumServicesYes
PaymentMethod_Electronic check
TenureGroup_0-12
gender
PaperlessBilling
Partner
