feature
Contract_Month-to-month
OnlineSecurity_No
tenure
TechSupport_No
TenureGroup_0-12
InternetService_Fiber optic
PaymentMethod_Electronic check
Contract_Two year
OnlineBackup_No
TenureGroup_48-72
DeviceProtection_No
OnlineBackup_No internet service
StreamingTV_No internet service
StreamingMovies_No internet service
InternetService_No
